,file,shot,start_s,end_s,start,end
25,5245830105934359183.xml,26,95.13,96.21,00:01:35:13,00:01:36:21
26,5245830105934359183.xml,27,96.22,97.21,00:01:36:22,00:01:37:21
27,5245830105934359183.xml,28,97.22,99.12,00:01:37:22,00:01:39:12
28,5245830105934359183.xml,29,99.13,101.24,00:01:39:13,00:01:41:24
29,5245830105934359183.xml,30,102.0,104.06,00:01:42:00,00:01:44:06
30,5245830105934359183.xml,31,104.07,105.24,00:01:44:07,00:01:45:24
31,5245830105934359183.xml,32,106.0,120.08,00:01:46:00,00:02:00:08
32,5245830105934359183.xml,33,120.09,122.09,00:02:00:09,00:02:02:09
33,5245830105934359183.xml,34,122.1,122.22,00:02:02:10,00:02:02:22
34,5245830105934359183.xml,35,122.23,125.02,00:02:02:23,00:02:05:02
35,5245830105934359183.xml,36,125.03,127.03,00:02:05:03,00:02:07:03
36,5245830105934359183.xml,37,127.04,133.1,00:02:07:04,00:02:13:10
37,5245830105934359183.xml,38,133.11,135.05,00:02:13:11,00:02:15:05
38,5245830105934359183.xml,39,135.06,137.2,00:02:15:06,00:02:17:20
39,5245830105934359183.xml,40,137.21,139.04,00:02:17:21,00:02:19:04
40,5245830105934359183.xml,41,139.05,140.24,00:02:19:05,00:02:20:24
41,5245830105934359183.xml,42,141.0,142.24,00:02:21:00,00:02:22:24
42,5245830105934359183.xml,43,143.0,144.15,00:02:23:00,00:02:24:15
43,5245830105934359183.xml,44,144.16,146.2,00:02:24:16,00:02:26:20
44,5245830105934359183.xml,45,146.21,148.17,00:02:26:21,00:02:28:17
45,5245830105934359183.xml,46,148.18,149.16,00:02:28:18,00:02:29:16
46,5245830105934359183.xml,47,149.17,151.06,00:02:29:17,00:02:31:06
47,5245830105934359183.xml,48,151.07,153.02,00:02:31:07,00:02:33:02
48,5245830105934359183.xml,49,153.03,155.0,00:02:33:03,00:02:35:00
49,5245830105934359183.xml,50,155.01,157.24,00:02:35:01,00:02:37:24
50,5245830105934359183.xml,51,158.0,175.21,00:02:38:00,00:02:55:21
51,5245830105934359183.xml,52,175.22,184.04,00:02:55:22,00:03:04:04
52,5245830105934359183.xml,53,184.05,185.22,00:03:04:05,00:03:05:22
53,5245830105934359183.xml,54,185.23,190.16,00:03:05:23,00:03:10:16
54,5245830105934359183.xml,55,190.17,192.07,00:03:10:17,00:03:12:07
55,5245830105934359183.xml,56,192.08,193.22,00:03:12:08,00:03:13:22
56,5245830105934359183.xml,57,193.23,195.23,00:03:13:23,00:03:15:23
57,5245830105934359183.xml,58,195.24,209.16,00:03:15:24,00:03:29:16
58,5245830105934359183.xml,59,209.17,212.12,00:03:29:17,00:03:32:12
59,5245830105934359183.xml,60,212.13,215.05,00:03:32:13,00:03:35:05
60,5245830105934359183.xml,61,215.06,215.13,00:03:35:06,00:03:35:13
61,5245830105934359183.xml,62,215.14,218.04,00:03:35:14,00:03:38:04
62,5245830105934359183.xml,63,218.05,237.18,00:03:38:05,00:03:57:18
63,5245830105934359183.xml,64,237.19,241.09,00:03:57:19,00:04:01:09
64,5245830105934359183.xml,65,241.1,243.2,00:04:01:10,00:04:03:20
65,5245830105934359183.xml,66,243.21,245.23,00:04:03:21,00:04:05:23
66,5245830105934359183.xml,67,245.24,248.04,00:04:05:24,00:04:08:04
67,5245830105934359183.xml,68,248.05,253.0,00:04:08:05,00:04:13:00
68,5245830105934359183.xml,69,253.01,255.02,00:04:13:01,00:04:15:02
69,5245830105934359183.xml,70,255.03,258.07,00:04:15:03,00:04:18:07
70,5245830105934359183.xml,71,258.08,260.19,00:04:18:08,00:04:20:19
71,5245830105934359183.xml,72,260.2,263.04,00:04:20:20,00:04:23:04
72,5245830105934359183.xml,73,263.05,266.01,00:04:23:05,00:04:26:01
73,5245830105934359183.xml,74,266.02,270.06,00:04:26:02,00:04:30:06
74,5245830105934359183.xml,75,270.07,272.04,00:04:30:07,00:04:32:04
75,5245830105934359183.xml,76,272.05,273.09,00:04:32:05,00:04:33:09
76,5245830105934359183.xml,77,273.1,277.21,00:04:33:10,00:04:37:21
77,5245830105934359183.xml,78,277.22,280.22,00:04:37:22,00:04:40:22
78,5245830105934359183.xml,79,280.23,284.08,00:04:40:23,00:04:44:08
79,5245830105934359183.xml,80,284.09,287.08,00:04:44:09,00:04:47:08
80,5245830105934359183.xml,81,287.09,289.04,00:04:47:09,00:04:49:04
81,5245830105934359183.xml,82,289.05,290.22,00:04:49:05,00:04:50:22
82,5245830105934359183.xml,83,290.23,292.14,00:04:50:23,00:04:52:14
83,5245830105934359183.xml,84,292.15,296.08,00:04:52:15,00:04:56:08
84,5245830105934359183.xml,85,296.09,297.1,00:04:56:09,00:04:57:10
85,5245830105934359183.xml,86,297.11,298.05,00:04:57:11,00:04:58:05
86,5245830105934359183.xml,87,298.06,299.09,00:04:58:06,00:04:59:09
87,5245830105934359183.xml,88,299.1,302.18,00:04:59:10,00:05:02:18
88,5245830105934359183.xml,89,302.19,303.14,00:05:02:19,00:05:03:14
89,5245830105934359183.xml,90,303.15,306.12,00:05:03:15,00:05:06:12
90,5245830105934359183.xml,91,306.13,308.12,00:05:06:13,00:05:08:12
91,5245830105934359183.xml,92,308.13,310.03,00:05:08:13,00:05:10:03
92,5245830105934359183.xml,93,310.04,311.18,00:05:10:04,00:05:11:18
93,5245830105934359183.xml,94,311.19,319.1,00:05:11:19,00:05:19:10
94,5245830105934359183.xml,95,319.11,321.05,00:05:19:11,00:05:21:05
95,5245830105934359183.xml,96,321.06,337.05,00:05:21:06,00:05:37:05
96,5245830105934359183.xml,97,337.06,337.23,00:05:37:06,00:05:37:23
97,5245830105934359183.xml,98,337.24,339.16,00:05:37:24,00:05:39:16
98,5245830105934359183.xml,99,339.17,340.05,00:05:39:17,00:05:40:05
99,5245830105934359183.xml,100,340.06,345.0,00:05:40:06,00:05:45:00
100,5245830105934359183.xml,101,345.01,347.03,00:05:45:01,00:05:47:03
101,5245830105934359183.xml,102,347.04,349.05,00:05:47:04,00:05:49:05
102,5245830105934359183.xml,103,349.06,351.07,00:05:49:06,00:05:51:07
103,5245830105934359183.xml,104,351.08,354.17,00:05:51:08,00:05:54:17
104,5245830105934359183.xml,105,354.18,356.03,00:05:54:18,00:05:56:03
105,5245830105934359183.xml,106,356.04,357.24,00:05:56:04,00:05:57:24
106,5245830105934359183.xml,107,358.0,364.24,00:05:58:00,00:06:04:24
107,5245830105934359183.xml,108,365.0,368.18,00:06:05:00,00:06:08:18
108,5245830105934359183.xml,109,368.19,370.13,00:06:08:19,00:06:10:13
109,5245830105934359183.xml,110,370.14,379.2,00:06:10:14,00:06:19:20
110,5245830105934359183.xml,111,379.21,383.13,00:06:19:21,00:06:23:13
111,5245830105934359183.xml,112,383.14,397.16,00:06:23:14,00:06:37:16
112,5245830105934359183.xml,113,397.17,399.09,00:06:37:17,00:06:39:09
113,5245830105934359183.xml,114,399.1,401.1,00:06:39:10,00:06:41:10
114,5245830105934359183.xml,115,401.11,410.11,00:06:41:11,00:06:50:11
115,5245830105934359183.xml,116,410.12,413.13,00:06:50:12,00:06:53:13
116,5245830105934359183.xml,117,413.14,415.23,00:06:53:14,00:06:55:23
117,5245830105934359183.xml,118,415.24,418.03,00:06:55:24,00:06:58:03
118,5245830105934359183.xml,119,418.04,421.18,00:06:58:04,00:07:01:18
119,5245830105934359183.xml,120,421.19,424.04,00:07:01:19,00:07:04:04
120,5245830105934359183.xml,121,424.05,426.07,00:07:04:05,00:07:06:07
121,5245830105934359183.xml,122,426.08,430.19,00:07:06:08,00:07:10:19
122,5245830105934359183.xml,123,430.2,439.01,00:07:10:20,00:07:19:01
123,5245830105934359183.xml,124,439.02,443.08,00:07:19:02,00:07:23:08
124,5245830105934359183.xml,125,443.09,446.14,00:07:23:09,00:07:26:14
125,5245830105934359183.xml,126,446.15,448.0,00:07:26:15,00:07:28:00
126,5245830105934359183.xml,127,448.01,452.01,00:07:28:01,00:07:32:01
127,5245830105934359183.xml,128,452.02,453.19,00:07:32:02,00:07:33:19
128,5245830105934359183.xml,129,453.2,463.0,00:07:33:20,00:07:43:00
129,5245830105934359183.xml,130,463.01,468.24,00:07:43:01,00:07:48:24
130,5245830105934359183.xml,131,469.0,477.08,00:07:49:00,00:07:57:08
131,5245830105934359183.xml,132,477.09,482.05,00:07:57:09,00:08:02:05
132,5245830105934359183.xml,133,482.06,486.15,00:08:02:06,00:08:06:15
133,5245830105934359183.xml,134,486.16,489.13,00:08:06:16,00:08:09:13
134,5245830105934359183.xml,135,489.14,491.14,00:08:09:14,00:08:11:14
135,5245830105934359183.xml,136,491.15,493.24,00:08:11:15,00:08:13:24
136,5245830105934359183.xml,137,494.0,494.21,00:08:14:00,00:08:14:21
137,5245830105934359183.xml,138,494.22,499.17,00:08:14:22,00:08:19:17
138,5245830105934359183.xml,139,499.18,502.23,00:08:19:18,00:08:22:23
139,5245830105934359183.xml,140,502.24,504.0,00:08:22:24,00:08:24:00
140,5245830105934359183.xml,141,504.01,504.13,00:08:24:01,00:08:24:13
141,5245830105934359183.xml,142,504.14,504.24,00:08:24:14,00:08:24:24
142,5245830105934359183.xml,143,505.0,512.0,00:08:25:00,00:08:32:00
143,5245830105934359183.xml,144,512.01,513.0,00:08:32:01,00:08:33:00
144,5245830105934359183.xml,145,513.01,522.21,00:08:33:01,00:08:42:21
145,5245830105934359183.xml,146,522.22,524.17,00:08:42:22,00:08:44:17
146,5245830105934359183.xml,147,524.18,527.0,00:08:44:18,00:08:47:00
147,5245830105934359183.xml,148,527.01,530.09,00:08:47:01,00:08:50:09
148,5245830105934359183.xml,149,530.1,539.17,00:08:50:10,00:08:59:17
149,5245830105934359183.xml,150,539.18,550.12,00:08:59:18,00:09:10:12
150,5245830105934359183.xml,151,550.13,566.21,00:09:10:13,00:09:26:21
151,5245830105934359183.xml,152,566.22,569.13,00:09:26:22,00:09:29:13
152,5245830105934359183.xml,153,569.14,571.09,00:09:29:14,00:09:31:09
153,5245830105934359183.xml,154,571.1,585.06,00:09:31:10,00:09:45:06
154,5245830105934359183.xml,155,585.07,588.07,00:09:45:07,00:09:48:07
155,5245830105934359183.xml,156,588.08,590.02,00:09:48:08,00:09:50:02
156,5245830105934359183.xml,157,590.03,591.22,00:09:50:03,00:09:51:22
157,5245830105934359183.xml,158,591.23,595.1,00:09:51:23,00:09:55:10
158,5245830105934359183.xml,159,595.11,599.01,00:09:55:11,00:09:59:01
159,5245830105934359183.xml,160,599.02,607.11,00:09:59:02,00:10:07:11
160,5245830105934359183.xml,161,607.12,610.15,00:10:07:12,00:10:10:15
161,5245830105934359183.xml,162,610.16,611.11,00:10:10:16,00:10:11:11
162,5245830105934359183.xml,163,611.12,614.1,00:10:11:12,00:10:14:10
163,5245830105934359183.xml,164,614.11,615.15,00:10:14:11,00:10:15:15
164,5245830105934359183.xml,165,615.16,617.2,00:10:15:16,00:10:17:20
165,5245830105934359183.xml,166,617.21,622.01,00:10:17:21,00:10:22:01
166,5245830105934359183.xml,167,622.02,624.06,00:10:22:02,00:10:24:06
167,5245830105934359183.xml,168,624.07,626.19,00:10:24:07,00:10:26:19
168,5245830105934359183.xml,169,626.2,629.1,00:10:26:20,00:10:29:10
169,5245830105934359183.xml,170,629.11,631.04,00:10:29:11,00:10:31:04
170,5245830105934359183.xml,171,631.05,632.08,00:10:31:05,00:10:32:08
171,5245830105934359183.xml,172,632.09,633.1,00:10:32:09,00:10:33:10
172,5245830105934359183.xml,173,633.11,643.09,00:10:33:11,00:10:43:09
173,5245830105934359183.xml,174,643.1,644.2,00:10:43:10,00:10:44:20
174,5245830105934359183.xml,175,644.21,646.0,00:10:44:21,00:10:46:00
175,5245830105934359183.xml,176,646.01,647.07,00:10:46:01,00:10:47:07
176,5245830105934359183.xml,177,647.08,648.01,00:10:47:08,00:10:48:01
177,5245830105934359183.xml,178,648.02,651.13,00:10:48:02,00:10:51:13
178,5245830105934359183.xml,179,651.14,654.0,00:10:51:14,00:10:54:00
179,5245830105934359183.xml,180,654.01,657.13,00:10:54:01,00:10:57:13
180,5245830105934359183.xml,181,657.14,661.09,00:10:57:14,00:11:01:09
181,5245830105934359183.xml,182,661.1,677.03,00:11:01:10,00:11:17:03
182,5245830105934359183.xml,183,677.04,679.04,00:11:17:04,00:11:19:04
183,5245830105934359183.xml,184,679.05,681.16,00:11:19:05,00:11:21:16
184,5245830105934359183.xml,185,681.17,683.05,00:11:21:17,00:11:23:05
185,5245830105934359183.xml,186,683.06,684.03,00:11:23:06,00:11:24:03
186,5245830105934359183.xml,187,684.04,686.01,00:11:24:04,00:11:26:01
187,5245830105934359183.xml,188,686.02,686.23,00:11:26:02,00:11:26:23
188,5245830105934359183.xml,189,686.24,689.01,00:11:26:24,00:11:29:01
189,5245830105934359183.xml,190,689.02,691.09,00:11:29:02,00:11:31:09
190,5245830105934359183.xml,191,691.1,693.12,00:11:31:10,00:11:33:12
191,5245830105934359183.xml,192,693.13,694.08,00:11:33:13,00:11:34:08
192,5245830105934359183.xml,193,694.09,694.13,00:11:34:09,00:11:34:13
193,5245830105934359183.xml,194,694.14,695.05,00:11:34:14,00:11:35:05
194,5245830105934359183.xml,195,695.06,695.13,00:11:35:06,00:11:35:13
195,5245830105934359183.xml,196,695.14,697.05,00:11:35:14,00:11:37:05
196,5245830105934359183.xml,197,697.06,698.19,00:11:37:06,00:11:38:19
197,5245830105934359183.xml,198,698.2,701.14,00:11:38:20,00:11:41:14
198,5245830105934359183.xml,199,701.15,703.12,00:11:41:15,00:11:43:12
199,5245830105934359183.xml,200,703.13,705.22,00:11:43:13,00:11:45:22
200,5245830105934359183.xml,201,705.23,726.24,00:11:45:23,00:12:06:24
201,5245830105934359183.xml,202,727.0,759.05,00:12:07:00,00:12:39:05
202,5245830105934359183.xml,203,759.06,762.06,00:12:39:06,00:12:42:06
203,5245830105934359183.xml,204,762.07,764.09,00:12:42:07,00:12:44:09
204,5245830105934359183.xml,205,764.1,767.1,00:12:44:10,00:12:47:10
205,5245830105934359183.xml,206,767.11,770.23,00:12:47:11,00:12:50:23
206,5245830105934359183.xml,207,770.24,773.0,00:12:50:24,00:12:53:00
207,5245830105934359183.xml,208,773.01,796.17,00:12:53:01,00:13:16:17
208,5245830105934359183.xml,209,796.18,808.19,00:13:16:18,00:13:28:19
209,5245830105934359183.xml,210,808.2,811.0,00:13:28:20,00:13:31:00
210,5245830105934359183.xml,211,811.01,814.13,00:13:31:01,00:13:34:13
211,5245830105934359183.xml,212,814.14,817.17,00:13:34:14,00:13:37:17
212,5245830105934359183.xml,213,817.18,819.17,00:13:37:18,00:13:39:17
213,5245830105934359183.xml,214,819.18,821.24,00:13:39:18,00:13:41:24
214,5245830105934359183.xml,215,822.0,823.11,00:13:42:00,00:13:43:11
215,5245830105934359183.xml,216,823.12,824.01,00:13:43:12,00:13:44:01
216,5245830105934359183.xml,217,824.02,825.2,00:13:44:02,00:13:45:20
217,5245830105934359183.xml,218,825.21,826.22,00:13:45:21,00:13:46:22
218,5245830105934359183.xml,219,826.23,828.05,00:13:46:23,00:13:48:05
219,5245830105934359183.xml,220,828.06,829.11,00:13:48:06,00:13:49:11
220,5245830105934359183.xml,221,829.12,831.17,00:13:49:12,00:13:51:17
221,5245830105934359183.xml,222,831.18,833.19,00:13:51:18,00:13:53:19
222,5245830105934359183.xml,223,833.2,835.12,00:13:53:20,00:13:55:12
223,5245830105934359183.xml,224,835.13,837.04,00:13:55:13,00:13:57:04
224,5245830105934359183.xml,225,837.05,837.2,00:13:57:05,00:13:57:20
225,5245830105934359183.xml,226,837.21,838.0,00:13:57:21,00:13:58:00
226,5245830105934359183.xml,227,838.01,839.2,00:13:58:01,00:13:59:20
227,5245830105934359183.xml,228,839.21,843.02,00:13:59:21,00:14:03:02
228,5245830105934359183.xml,229,843.03,846.15,00:14:03:03,00:14:06:15
229,5245830105934359183.xml,230,846.16,847.23,00:14:06:16,00:14:07:23
230,5245830105934359183.xml,231,847.24,849.11,00:14:07:24,00:14:09:11
231,5245830105934359183.xml,232,849.12,849.24,00:14:09:12,00:14:09:24
232,5245830105934359183.xml,233,850.0,851.03,00:14:10:00,00:14:11:03
233,5245830105934359183.xml,234,851.04,854.14,00:14:11:04,00:14:14:14
234,5245830105934359183.xml,235,854.15,857.01,00:14:14:15,00:14:17:01
235,5245830105934359183.xml,236,857.02,878.13,00:14:17:02,00:14:38:13
236,5245830105934359183.xml,237,878.14,880.12,00:14:38:14,00:14:40:12
237,5245830105934359183.xml,238,880.13,881.17,00:14:40:13,00:14:41:17
238,5245830105934359183.xml,239,881.18,882.11,00:14:41:18,00:14:42:11
239,5245830105934359183.xml,240,882.12,884.22,00:14:42:12,00:14:44:22
240,5245830105934359183.xml,241,884.23,887.24,00:14:44:23,00:14:47:24
241,5245830105934359183.xml,242,888.0,889.21,00:14:48:00,00:14:49:21
242,5245830105934359183.xml,243,889.22,891.12,00:14:49:22,00:14:51:12
243,5245830105934359183.xml,244,891.13,892.24,00:14:51:13,00:14:52:24
244,5245830105934359183.xml,245,893.0,894.02,00:14:53:00,00:14:54:02
245,5245830105934359183.xml,246,894.03,897.2,00:14:54:03,00:14:57:20
246,5245830105934359183.xml,247,897.21,901.19,00:14:57:21,00:15:01:19
247,5245830105934359183.xml,248,901.2,903.08,00:15:01:20,00:15:03:08
248,5245830105934359183.xml,249,903.09,905.09,00:15:03:09,00:15:05:09
249,5245830105934359183.xml,250,905.1,910.05,00:15:05:10,00:15:10:05
250,5245830105934359183.xml,251,910.06,924.24,00:15:10:06,00:15:24:24
251,5245830105934359183.xml,252,925.0,927.11,00:15:25:00,00:15:27:11
252,5245830105934359183.xml,253,927.12,931.03,00:15:27:12,00:15:31:03
253,5245830105934359183.xml,254,931.04,935.01,00:15:31:04,00:15:35:01
254,5245830105934359183.xml,255,935.02,936.04,00:15:35:02,00:15:36:04
255,5245830105934359183.xml,256,936.05,938.04,00:15:36:05,00:15:38:04
256,5245830105934359183.xml,257,938.05,941.04,00:15:38:05,00:15:41:04
257,5245830105934359183.xml,258,941.05,947.22,00:15:41:05,00:15:47:22
258,5245830105934359183.xml,259,947.23,950.18,00:15:47:23,00:15:50:18
259,5245830105934359183.xml,260,950.19,956.07,00:15:50:19,00:15:56:07
260,5245830105934359183.xml,261,956.08,960.02,00:15:56:08,00:16:00:02
261,5245830105934359183.xml,262,960.03,963.01,00:16:00:03,00:16:03:01
262,5245830105934359183.xml,263,963.02,963.15,00:16:03:02,00:16:03:15
263,5245830105934359183.xml,264,963.16,963.23,00:16:03:16,00:16:03:23
264,5245830105934359183.xml,265,963.24,967.23,00:16:03:24,00:16:07:23
265,5245830105934359183.xml,266,967.24,969.14,00:16:07:24,00:16:09:14
266,5245830105934359183.xml,267,969.15,972.07,00:16:09:15,00:16:12:07
267,5245830105934359183.xml,268,972.08,973.12,00:16:12:08,00:16:13:12
268,5245830105934359183.xml,269,973.13,973.17,00:16:13:13,00:16:13:17
269,5245830105934359183.xml,270,973.18,977.22,00:16:13:18,00:16:17:22
270,5245830105934359183.xml,271,977.23,978.01,00:16:17:23,00:16:18:01
271,5245830105934359183.xml,272,978.02,979.06,00:16:18:02,00:16:19:06
272,5245830105934359183.xml,273,979.07,981.06,00:16:19:07,00:16:21:06
273,5245830105934359183.xml,274,981.07,986.21,00:16:21:07,00:16:26:21
274,5245830105934359183.xml,275,986.22,989.24,00:16:26:22,00:16:29:24
275,5245830105934359183.xml,276,990.0,993.14,00:16:30:00,00:16:33:14
276,5245830105934359183.xml,277,993.15,997.06,00:16:33:15,00:16:37:06
277,5245830105934359183.xml,278,997.07,1000.02,00:16:37:07,00:16:40:02
278,5245830105934359183.xml,279,1000.03,1005.23,00:16:40:03,00:16:45:23
279,5245830105934359183.xml,280,1005.24,1008.07,00:16:45:24,00:16:48:07
280,5245830105934359183.xml,281,1008.08,1011.11,00:16:48:08,00:16:51:11
281,5245830105934359183.xml,282,1011.12,1012.23,00:16:51:12,00:16:52:23
282,5245830105934359183.xml,283,1012.24,1019.12,00:16:52:24,00:16:59:12
283,5245830105934359183.xml,284,1019.13,1020.02,00:16:59:13,00:17:00:02
284,5245830105934359183.xml,285,1020.03,1020.24,00:17:00:03,00:17:00:24
285,5245830105934359183.xml,286,1021.0,1021.11,00:17:01:00,00:17:01:11
286,5245830105934359183.xml,287,1021.12,1022.12,00:17:01:12,00:17:02:12
287,5245830105934359183.xml,288,1022.13,1024.07,00:17:02:13,00:17:04:07
288,5245830105934359183.xml,289,1024.08,1025.04,00:17:04:08,00:17:05:04
289,5245830105934359183.xml,290,1025.05,1026.03,00:17:05:05,00:17:06:03
290,5245830105934359183.xml,291,1026.04,1027.0,00:17:06:04,00:17:07:00
291,5245830105934359183.xml,292,1027.01,1038.19,00:17:07:01,00:17:18:19
292,5245830105934359183.xml,293,1038.2,1040.2,00:17:18:20,00:17:20:20
293,5245830105934359183.xml,294,1040.21,1041.13,00:17:20:21,00:17:21:13
294,5245830105934359183.xml,295,1041.14,1042.05,00:17:21:14,00:17:22:05
295,5245830105934359183.xml,296,1042.06,1043.03,00:17:22:06,00:17:23:03
296,5245830105934359183.xml,297,1043.04,1046.03,00:17:23:04,00:17:26:03
297,5245830105934359183.xml,298,1046.04,1047.02,00:17:26:04,00:17:27:02
298,5245830105934359183.xml,299,1047.03,1064.14,00:17:27:03,00:17:44:14
299,5245830105934359183.xml,300,1064.15,1067.04,00:17:44:15,00:17:47:04
300,5245830105934359183.xml,301,1067.05,1069.16,00:17:47:05,00:17:49:16
301,5245830105934359183.xml,302,1069.17,1072.1,00:17:49:17,00:17:52:10
302,5245830105934359183.xml,303,1072.11,1074.11,00:17:52:11,00:17:54:11
303,5245830105934359183.xml,304,1074.12,1075.16,00:17:54:12,00:17:55:16
304,5245830105934359183.xml,305,1075.17,1079.01,00:17:55:17,00:17:59:01
305,5245830105934359183.xml,306,1079.02,1085.04,00:17:59:02,00:18:05:04
306,5245830105934359183.xml,307,1085.05,1086.09,00:18:05:05,00:18:06:09
307,5245830105934359183.xml,308,1086.1,1091.24,00:18:06:10,00:18:11:24
308,5245830105934359183.xml,309,1092.0,1093.22,00:18:12:00,00:18:13:22
309,5245830105934359183.xml,310,1093.23,1098.19,00:18:13:23,00:18:18:19
310,5245830105934359183.xml,311,1098.2,1100.17,00:18:18:20,00:18:20:17
311,5245830105934359183.xml,312,1100.18,1106.02,00:18:20:18,00:18:26:02
312,5245830105934359183.xml,313,1106.03,1109.17,00:18:26:03,00:18:29:17
313,5245830105934359183.xml,314,1109.18,1120.19,00:18:29:18,00:18:40:19
314,5245830105934359183.xml,315,1120.2,1122.15,00:18:40:20,00:18:42:15
315,5245830105934359183.xml,316,1122.16,1124.09,00:18:42:16,00:18:44:09
316,5245830105934359183.xml,317,1124.1,1126.18,00:18:44:10,00:18:46:18
317,5245830105934359183.xml,318,1126.19,1128.13,00:18:46:19,00:18:48:13
318,5245830105934359183.xml,319,1128.14,1129.23,00:18:48:14,00:18:49:23
319,5245830105934359183.xml,320,1129.24,1130.08,00:18:49:24,00:18:50:08
320,5245830105934359183.xml,321,1130.09,1131.13,00:18:50:09,00:18:51:13
321,5245830105934359183.xml,322,1131.14,1132.05,00:18:51:14,00:18:52:05
322,5245830105934359183.xml,323,1132.06,1134.02,00:18:52:06,00:18:54:02
323,5245830105934359183.xml,324,1134.03,1138.0,00:18:54:03,00:18:58:00
324,5245830105934359183.xml,325,1138.01,1139.22,00:18:58:01,00:18:59:22
325,5245830105934359183.xml,326,1139.23,1144.03,00:18:59:23,00:19:04:03
326,5245830105934359183.xml,327,1144.04,1147.06,00:19:04:04,00:19:07:06
327,5245830105934359183.xml,328,1147.07,1149.17,00:19:07:07,00:19:09:17
328,5245830105934359183.xml,329,1149.18,1151.03,00:19:09:18,00:19:11:03
329,5245830105934359183.xml,330,1151.04,1153.07,00:19:11:04,00:19:13:07
330,5245830105934359183.xml,331,1153.08,1154.18,00:19:13:08,00:19:14:18
331,5245830105934359183.xml,332,1154.19,1155.05,00:19:14:19,00:19:15:05
332,5245830105934359183.xml,333,1155.06,1156.13,00:19:15:06,00:19:16:13
333,5245830105934359183.xml,334,1156.14,1158.24,00:19:16:14,00:19:18:24
334,5245830105934359183.xml,335,1159.0,1162.23,00:19:19:00,00:19:22:23
335,5245830105934359183.xml,336,1162.24,1163.24,00:19:22:24,00:19:23:24
336,5245830105934359183.xml,337,1164.0,1167.1,00:19:24:00,00:19:27:10
337,5245830105934359183.xml,338,1167.11,1181.03,00:19:27:11,00:19:41:03
338,5245830105934359183.xml,339,1181.04,1184.01,00:19:41:04,00:19:44:01
339,5245830105934359183.xml,340,1184.02,1187.19,00:19:44:02,00:19:47:19
340,5245830105934359183.xml,341,1187.2,1189.18,00:19:47:20,00:19:49:18
341,5245830105934359183.xml,342,1189.19,1191.03,00:19:49:19,00:19:51:03
342,5245830105934359183.xml,343,1191.04,1193.02,00:19:51:04,00:19:53:02
343,5245830105934359183.xml,344,1193.03,1198.18,00:19:53:03,00:19:58:18
344,5245830105934359183.xml,345,1198.19,1200.2,00:19:58:19,00:20:00:20
345,5245830105934359183.xml,346,1200.21,1204.06,00:20:00:21,00:20:04:06
346,5245830105934359183.xml,347,1204.07,1216.04,00:20:04:07,00:20:16:04
347,5245830105934359183.xml,348,1216.05,1217.2,00:20:16:05,00:20:17:20
348,5245830105934359183.xml,349,1217.21,1218.18,00:20:17:21,00:20:18:18
349,5245830105934359183.xml,350,1218.19,1227.17,00:20:18:19,00:20:27:17
350,5245830105934359183.xml,351,1227.18,1227.22,00:20:27:18,00:20:27:22
351,5245830105934359183.xml,352,1227.23,1228.22,00:20:27:23,00:20:28:22
352,5245830105934359183.xml,353,1228.23,1231.0,00:20:28:23,00:20:31:00
353,5245830105934359183.xml,354,1231.01,1231.18,00:20:31:01,00:20:31:18
